Protocol,Name,Command,Package Name,Package AppName,Package App Description,IsMicrosoft
"ms-settings-displays-topology://","Devices Flow Display Topology Protocol","""C:\WINDOWS\system32\LaunchWinApp.exe"" ""%1""","","","",True
"ms-settings-emailandaccounts://","ms-settings-emailandaccounts","","","","",True
"ms-settings-language://","ms-settings-language","","","","",True
"ms-settings-location://","ms-settings-location","","","","",True
"ms-settings-lock://","ms-settings-lock","","","","",True
"ms-settings-mobilehotspot://","ms-settings-mobilehotspot","","","","",True
"ms-settings-notifications://","ms-settings-notifications","","","","",True
"ms-settings-power://","ms-settings-power","","","","",True
"ms-settings-privacy://","ms-settings-privacy","","","","",True
"ms-settings-proximity://","ms-settings-proximity","","","","",True
"ms-settings-screenrotation://","ms-settings-screenrotation","","","","",True
"ms-settings-wifi://","ms-settings-wifi","","","","",True
"ms-settings-workplace://","ms-settings-workplace","","","","",True
"ms-snaplaunch://","Snap Launch","""C:\WINDOWS\SystemApps\MicrosoftWindows.Client.Core_cw5n1h2txyewy\snaplauncherprotocol.exe"" ""%1""","","","",True
"ms-stickereditor://","ms-stickereditor","C:\Windows\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\DesktopStickerEditorWin32Exe\DesktopStickerEditorWin32Exe.exe","MicrosoftWindows.Client.CBS","DesktopStickerEditorCentennial","DesktopStickerEditorCentennial",True
"ms-sttoverlay://","ms-sttoverlay","C:\Program Files\WindowsApps\Microsoft.XboxSpeechToTextOverlay_1.21.13002.0_x64__8wekyb3d8bbwe\SpeechToTextOverlay64-Retail.exe","Microsoft.XboxSpeechToTextOverlay","ms-resource:AppName","Xbox",True
"ms-taskswitcher://","ms-taskswitcher","","","","",True
"ms-teams://","ms-teams","C:\Program Files\WindowsApps\microsoftteams_24124.2402.2858.5617_x64__8wekyb3d8bbwe\msteams.exe","MicrosoftTeams","Microsoft Teams (personal)","Microsoft Teams (personal)",True
"ms-todo://","ms-todo","C:\Program Files\WindowsApps\Microsoft.Todos_0.114.7122.0_x64__8wekyb3d8bbwe\Todo.exe","Microsoft.Todos","ms-resource:app_name_ms_todo","ms-resource:app_name_ms_todo",True
"ms-to-do://","ms-to-do","C:\Program Files\WindowsApps\Microsoft.Todos_0.114.7122.0_x64__8wekyb3d8bbwe\Todo.exe","Microsoft.Todos","ms-resource:app_name_ms_todo","ms-resource:app_name_ms_todo",True
"ms-unistore-email://","ms-unistore-email","C:\Program Files\WindowsApps\microsoft.windowscommunicationsapps_16005.14326.22054.0_x64__8wekyb3d8bbwe\HxOutlook.exe","microsoft.windowscommunicationsapps","ms-resource://microsoft.windowscommunicationsapps/hxoutlookintl/AppManifest_MailDesktop_DisplayName","ms-resource://microsoft.windowscommunicationsapps/hxoutlookintl/AppManifest_MailDesktop_Description",True
"ms-virtualtouchpad://","Virtual Touchpad","""C:\WINDOWS\system32\LaunchWinApp.exe"" ""%1""","","","",True
"ms-walk-to://","ms-walk-to","C:\Program Files\WindowsApps\Microsoft.WindowsMaps_1.0.62.0_x64__8wekyb3d8bbwe\Maps.exe","Microsoft.WindowsMaps","ms-resource:AppDisplayName","ms-resource:AppDescription",True
"ms-wcrv://","ms-wcrv","C:\Program Files\WindowsApps\Microsoft.Windows.Photos_2024.11070.31001.0_x64__8wekyb3d8bbwe\Photos.exe","Microsoft.Windows.Photos","ms-resource:AppDisplayName","ms-resource:AppDescription",True
"ms-whiteboard-cmd://","ms-whiteboard-cmd","C:\Program Files\WindowsApps\Microsoft.Whiteboard_54.20907.567.0_x64__8wekyb3d8bbwe\MicrosoftWhiteboard\MicrosoftWhiteboard.exe","Microsoft.Whiteboard","Microsoft Whiteboard","Microsoft Whiteboard",True
"ms-whiteboard-preview://","ms-whiteboard-preview","C:\Program Files\WindowsApps\Microsoft.Whiteboard_54.20907.567.0_x64__8wekyb3d8bbwe\MicrosoftWhiteboard\MicrosoftWhiteboard.exe","Microsoft.Whiteboard","Microsoft Whiteboard","Microsoft Whiteboard",True
"ms-widgets://","ms-widgets","C:\Program Files\WindowsApps\MicrosoftWindows.Client.WebExperience_524.24900.80.0_x64__cw5n1h2txyewy\Dashboard\Widgets.exe","MicrosoftWindows.Client.WebExperience","ms-resource:PkgDisplayName","ms-resource:PkgDisplayName",True
"ms-windowsbackup://","ms-windowsbackup","C:\Windows\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\WindowsBackupClient.exe","MicrosoftWindows.Client.CBS","ms-resource:WindowsBackup/Resources/WindowsBackupHostName","ms-resource:WindowsBackup/Resources/WindowsBackupDescription",True
"mswindowsmusic://","","C:\Program Files\WindowsApps\Microsoft.ZuneMusic_11.2408.4.0_x64__8wekyb3d8bbwe\Microsoft.Media.Player.exe","Microsoft.ZuneMusic","ms-resource:AppName","ms-resource:AppDescription",True
"ms-windows-search://","ms-windows-search","","","","",True
