Name,ExplorerCommand,RelativePath,ParentFolder
"Roamed Tile Images","explorer shell:Roamed Tile Images","Microsoft\Windows\RoamedTileImages","Local AppData"
"Camera Roll","explorer shell:Camera Roll","Camera Roll","My Pictures"
"Recent","explorer shell:Recent","Microsoft\Windows\Recent","AppData"
"AppDataDesktop","explorer shell:AppDataDesktop","Desktop","Local AppData"
"Desktop","explorer shell:Desktop","Desktop","None"
"CommonPictures","explorer shell:CommonPictures","Pictures","Public"
"RecycleBinFolder","explorer shell:RecycleBinFolder","","None"
"Screenshots","explorer shell:Screenshots","Screenshots","My Pictures"
"CryptoKeys","explorer shell:CryptoKeys","","None"
"Common Templates","explorer shell:Common Templates","Microsoft\Windows\Templates","Common AppData"
"Startup","explorer shell:Startup","StartUp","Programs"
"ImplicitAppShortcuts","explorer shell:ImplicitAppShortcuts","ImplicitAppShortcuts","User Pinned"
"UserProgramFilesCommon","explorer shell:UserProgramFilesCommon","Common","UserProgramFiles"
"Links","explorer shell:Links","Links","None"
"OEM Links","explorer shell:OEM Links","OEM Links","Common AppData"
"OneDriveMusic","explorer shell:OneDriveMusic","Music","OneDrive"
"Common Desktop","explorer shell:Common Desktop","Desktop","Public"
"NetHood","explorer shell:NetHood","Microsoft\Windows\Network Shortcuts","AppData"
"Ringtones","explorer shell:Ringtones","Microsoft\Windows\Ringtones","Local AppData"
"Common Administrative Tools","explorer shell:Common Administrative Tools","Administrative Tools","Common Programs"
"NetworkPlacesFolder","explorer shell:NetworkPlacesFolder","","None"
"SystemX86","explorer shell:SystemX86","","None"
"History","explorer shell:History","Microsoft\Windows\History","Local AppData"
"Development Files","explorer shell:Development Files","DevelopmentFiles","Local AppData"
"AddNewProgramsFolder","explorer shell:AddNewProgramsFolder","","None"
"Playlists","explorer shell:Playlists","Playlists","My Music"
"ProgramFilesCommonX86","explorer shell:ProgramFilesCommonX86","","None"
"PublicGameTasks","explorer shell:PublicGameTasks","Microsoft\Windows\GameExplorer","Common AppData"
"ChangeRemoveProgramsFolder","explorer shell:ChangeRemoveProgramsFolder","","None"
"Public","explorer shell:Public","","None"
"SavedPicturesLibrary","explorer shell:SavedPicturesLibrary","SavedPictures.library-ms","Libraries"
"CommonRingtones","explorer shell:CommonRingtones","Microsoft\Windows\Ringtones","Common AppData"
"Common Documents","explorer shell:Common Documents","Documents","Public"
"Captures","explorer shell:Captures","Captures","My Video"
"CSCFolder","explorer shell:CSCFolder","","None"
"Local AppData","explorer shell:Local AppData","AppData\Local","None"
"Windows","explorer shell:Windows","","None"
"UsersFilesFolder","explorer shell:UsersFilesFolder","","None"
"Local Documents","explorer shell:Local Documents","Documents","None"
"ProgramFilesCommon","explorer shell:ProgramFilesCommon","","None"
"Fonts","explorer shell:Fonts","","Windows"
"Personal","explorer shell:Personal","Documents","None"

