XMLTaskId,ApplicationId,ApplicationName,Name,Page,Command,Keywords
"{1A0593CC-3C1C-4CB7-BBB0-00E54E706D3C}","{D555645E-D4F8-4C29-A827-D93C859C4F2A}","Microsoft.EaseOfAccessCenter","필터 키를 사용하여 반복적인 키 입력 무시","pageFilterKeysSettings","control.exe /name Microsoft.EaseOfAccessCenter /page pageFilterKeysSettings","키;필터 키;keys;filterkeys"
"{EE423D17-7ED8-4B33-9555-C23DEEAFB4B6}","{D20EA4E1-3957-11D2-A40B-0C5020524153}","Microsoft.AdministrativeTools","하드 디스크 파티션 만들기 및 포맷","","%windir%\system32\mmc.exe %windir%\system32\diskmgmt.msc","확인;디스크;체크 디스크;디스크 정리;클리너;정리;정리;check;disk;dsk;chkdsk;cleandisk;cleaner;cleanup;up;추가;만들기;하기;기능;add;create;make;new;디스켓;디스크;드라이브;disc;disks;drive;활성화;추가;시작;사용;설치;호출;하기;설정;설정하기;셋업;시작;켬;잠금 해제;세팅;셋팅;activate;add;begin;enable;intsall;invoke;make;up;setting;setup;start;on;turnon;unlock;에프디스크;fdisc;fdisk;포맷됨;서식;포맷된;서식;formated;formating;formatted;formatting;디스크;드라이브;하드디스크;하드-디스크;하드드라이브;하드-드라이브;disk;drive;harddisk;hard-disk;harddrive;hard-drive;부팅;디스켓;확장된;포맷;디스크;드라이브;하드디스크;하드드라이브;파티션;파티셔닝;기본;다시 포맷;섹터;파티션해제;볼륨;boot;disc;extended;format;disk;drive;harddisk;harddrive;ntfs;fat;partitian;partitioning;primary;reformat;sector;unpartition;volume;확인;목록;보기;표시;보는;check;list;see;show;viewing;유지 관리;유지 운영;management;managment"
"{EE439E7E-CE1E-4ABE-9EA8-50F12ED01FE0}","{D555645E-D4F8-4C29-A827-D93C859C4F2A}","Microsoft.EaseOfAccessCenter","학습 기능 조정","pageQuestionsCognitive","control.exe /name Microsoft.EaseOfAccessCenter /page pageQuestionsCognitive","적응;적응;순응;조정;accomidate;accomodates;accomodating;adjust;for;할 수 없음;할 수 없는;못함;하기 어려운;어려움;하는;안 하는;안 함;하기 어려운;아님;하게 될;하지 않을;안 할;can;not;cannot;can't;difficult;to;difficulty;does;doesn't;hard;not;will;willnot;won't;할 수 없는;할 수 없음;장애가 있는;장애;장애의;문제;disabilities;disability;empaired;impaired;imparied;trouble;지각;학습;cognitive;learning"
"{B1207959-FFBF-4417-A6B1-4BF0EDA51F5A}","{6DFD7C5C-2451-11D3-A299-00C04F8EF6AF}","Microsoft.FolderOptions","한 번 클릭으로 열기 또는 두 번 클릭으로 열기 지정","","control.exe /name Microsoft.FolderOptions","선택;선택하는;선택한;고른;고름;선택한;고르기;chooses;choosing;chose;picked;picks;selected;selects;잠금;클릭하기;두번클릭;두 번 클릭;한번 클릭;더블 클릭;lock;clicking;doubleclick;double-click;single-click"
"{78746308-57E7-4628-BD0F-860CE07C691E}","{17CD9488-1228-4B2F-88CE-4298E93E0966}","Microsoft.DefaultPrograms","항상 특정 프로그램으로 파일 형식 열기","pageFileAssoc","control.exe /name Microsoft.DefaultPrograms /page pageFileAssoc","조정;조절;바꿈;변경;편집;수정;바꾸기;다시 설정;설정;전환;스위치;adjust;ajust;alter;change;edit;modify;replace;reset;set;switch;연결;연관;연관;확장;확장;타입;파일형식;연결;연결프로그램;associate;association;associations;extensions;extentions;type;filetype;open;with;애플릿;응용 프로그램;애플리케이션;앱스;파일;프로그램;플그램;소프트;소프트웨어;소프크웨어;소프트 웨어;윈도우;윈도우;applets;applications;apps;aps;files;programmes;programs;softare;softwares;sofware;sotfware;windos;windows"
"{7ABBE8E6-757F-419A-B2E0-07D5694F8E0F}","{D555645E-D4F8-4C29-A827-D93C859C4F2A}","Microsoft.EaseOfAccessCenter","현재의 접근성 설정 보기","","control.exe /name Microsoft.EaseOfAccessCenter","접근성;접근성;편한;쉬운;accessibility;acessibility;ease;of;구상;구성;구성하다;정의;유지 관리;옵션;개인 설정;사용자 개인 설정;설정하기;설정값;셋업;세팅;confg;configuration;configure;define;management;options;personalise;personalize;up;settings;setup;확인;목록;보기;표시;보는;check;list;see;show;viewing"
"{BABB24A6-0242-4AE5-BD83-C5816526F63D}","{A3DD4F92-658A-410F-84FD-6FBBBEF2FFFE}","Microsoft.InternetOptions","홈 페이지 변경","","%windir%\system32\rundll32.exe shell32.dll,Control_RunDLL inetcpl.cpl,,0","조정;조절;바꿈;변경;편집;수정;바꾸기;다시 설정;설정;전환;스위치;adjust;ajust;alter;change;edit;modify;replace;reset;set;switch;페이지;홈페이지;page;homepage;웹;인터넷;인트라네트;넷;온라인;온-라인;사이트;페이지;웹 페이지;웹사이트;월드;와이드;from;the;web;inet;internet;intrnet;net;online;on-line;sites;pages;webpages;websites;world;wide;www"
"{DF7B19EF-DEA5-47D7-BBA5-9FCBE400A59D}","{025A5937-A6BE-4686-A844-36FE4BEC8B6D}","Microsoft.PowerOptions","화면 보호기 변경","","%windir%\system32\rundll32.exe shell32.dll,Control_RunDLL desk.cpl,screensaver,@screensaver","보호기;화면;화면 보호기;스크림;화면보호기;스크린;스크린 보호기;화면보호;스크린;화몀;스크린세이버;스크림세이버;스크리;스크리세이버;savers;screan;screansavers;screeen;screeensavers;screen;screen-saver;screensavers;scren;screne;screnesavers;scrensavers;scrren;scrrensavers"
"{EFACECBA-BCCD-468B-BAB3-7CA40A898982}","{025A5937-A6BE-4686-A844-36FE4BEC8B6D}","Microsoft.PowerOptions","화면 보호기 켜기/끄기","","%windir%\system32\rundll32.exe shell32.dll,Control_RunDLL desk.cpl,screensaver,@screensaver","취소;비활성화;삭제;삭제하기;비활성화;비허용;끝내기;제거하기;종료;방지;제거;제거하기;종료;끄기;중지;끄기;끔;cancel;deactivates;delete;deleting;disable;disallow;exit;get;rid;of;prevent;remove;removing;shut;down;off;stop;turn;turnoff;보호기;화면;화면 보호기;스크림;화면보호기;스크린;스크린 보호기;화면보호;스크린;화몀;스크린세이버;스크림세이버;스크리;스크리세이버;savers;screan;screansavers;screeen;screeensavers;screen;screen-saver;screensavers;scren;screne;screnesavers;scrensavers;scrren;scrrensavers"
"{B57D7134-6BAB-47B2-A506-E885E104EC99}","{D555645E-D4F8-4C29-A827-D93C859C4F2A}","Microsoft.EaseOfAccessCenter","화면 읽기 프로그램 사용","pageNoVisual","control.exe /name Microsoft.EaseOfAccessCenter /page pageNoVisual","조정;조절;바꿈;변경;편집;수정;바꾸기;다시 설정;설정;전환;스위치;adjust;ajust;alter;change;edit;modify;replace;reset;set;switch;화면;리더;화면 판독기;윈도우;내레이터;screan;readers;screenreader;windows;narrator"
"{A10DFF38-B2D2-44AC-952B-A2B5DC5D0C9F}","{80F3F1D5-FECA-45F3-BC32-752C152E456E}","Microsoft.TabletPCSettings","화면 회전 순서 선택","","%windir%\system32\rundll32.exe shell32.dll,Control_RunDLL TabletPC.cpl @1,display","조정;조절;바꿈;변경;편집;수정;바꾸기;다시 설정;설정;전환;스위치;adjust;ajust;alter;change;edit;modify;replace;reset;set;switch;화면표시기;화면;모니터;스크린;monitors;screens;각도;가로;방향;세로;돌리기;회전;angle;landscape;orientation;portrait;rotate;rotation;디스플레이;모니터;스크린;화면;crt;displays;monitors;screeens;screens"
"{08E0BCF8-0E51-4C9F-9425-F7A2B8AF88D5}","{D555645E-D4F8-4C29-A827-D93C859C4F2A}","Microsoft.EaseOfAccessCenter","화상 키보드 켜기/끄기","","control.exe /name Microsoft.EaseOfAccessCenter","활성화;추가;시작;사용;설치;호출;하기;설정;설정하기;셋업;시작;켬;잠금 해제;세팅;셋팅;activate;add;begin;enable;intsall;invoke;make;up;setting;setup;start;on;turnon;unlock;보드;보드;키이보드;키브드;키자판;키보드;자판;board;bord;keyboards;keyborads;keybord;스크린;키보드;화면;화상;screen;keyboard;onscreen;on-screen;osk"
