Protocol,Full URL,Encoding Used,Embedded Variables, Found in File
"windowsdefender","windowsdefender://quickscan/","Unicode","False","C:\Program Files\WindowsApps\microsoft.sechealthui_1000.22621.2501.0_x64__8wekyb3d8bbwe\SecHealthUI.exe"
"windowsdefender","windowsdefender://ransomwareprotection/","Unicode","False","C:\Program Files\WindowsApps\microsoft.sechealthui_1000.22621.2501.0_x64__8wekyb3d8bbwe\SecHealthUI.exe"
"windowsdefender","windowsdefender://reboot/","Unicode","False","C:\Program Files\WindowsApps\microsoft.sechealthui_1000.22621.2501.0_x64__8wekyb3d8bbwe\SecHealthUI.exe"
"windowsdefender","windowsdefender://samples","Unicode","False","C:\Program Files\WindowsApps\microsoft.sechealthui_1000.22621.2501.0_x64__8wekyb3d8bbwe\SecHealthUI.exe"
"windowsdefender","windowsdefender://securityprocessor/","Unicode","False","C:\Program Files\WindowsApps\microsoft.sechealthui_1000.22621.2501.0_x64__8wekyb3d8bbwe\SecHealthUI.exe"
"windowsdefender","windowsdefender://securityprocessortroubleshooting/","Unicode","False","C:\Program Files\WindowsApps\microsoft.sechealthui_1000.22621.2501.0_x64__8wekyb3d8bbwe\SecHealthUI.exe"
"windowsdefender","windowsdefender://settings/","Unicode","False","C:\Program Files\WindowsApps\microsoft.sechealthui_1000.22621.2501.0_x64__8wekyb3d8bbwe\SecHealthUI.exe"
"windowsdefender","windowsdefender://smartapp/","Unicode","False","C:\Program Files\WindowsApps\microsoft.sechealthui_1000.22621.2501.0_x64__8wekyb3d8bbwe\SecHealthUI.exe"
"windowsdefender","windowsdefender://smartscreenpua/","Unicode","False","C:\Program Files\WindowsApps\microsoft.sechealthui_1000.22621.2501.0_x64__8wekyb3d8bbwe\SecHealthUI.exe"
"windowsdefender","windowsdefender://threat/","Unicode","False","C:\Program Files\WindowsApps\microsoft.sechealthui_1000.22621.2501.0_x64__8wekyb3d8bbwe\SecHealthUI.exe"
"windowsdefender","windowsdefender://threatsettings/","Unicode","False","C:\Program Files\WindowsApps\microsoft.sechealthui_1000.22621.2501.0_x64__8wekyb3d8bbwe\SecHealthUI.exe"
"windowsdefender","windowsdefender://update/","Unicode","False","C:\Program Files\WindowsApps\microsoft.sechealthui_1000.22621.2501.0_x64__8wekyb3d8bbwe\SecHealthUI.exe"
"windowsdefender","windowsdefender://updateandquickscan/","Unicode","False","C:\Program Files\WindowsApps\microsoft.sechealthui_1000.22621.2501.0_x64__8wekyb3d8bbwe\SecHealthUI.exe"
