Protocol,Full URL,Encoding Used,Embedded Variables, Found in File
"insiderhub","insiderhub://(.+)\?Source","Unicode","True","C:\Program Files\WindowsApps\Microsoft.WindowsFeedbackHub_1.2407.21972.0_x64__8wekyb3d8bbwe\PilotshubApp.dll"
"insiderhub","insiderhub://alerts","Unicode","False","C:\Program Files\WindowsApps\Microsoft.WindowsFeedbackHub_1.2407.21972.0_x64__8wekyb3d8bbwe\PilotshubApp.dll"
"insiderhub","insiderhub://announcements","Unicode","False","C:\Program Files\WindowsApps\Microsoft.WindowsFeedbackHub_1.2407.21972.0_x64__8wekyb3d8bbwe\PilotshubApp.dll"
"insiderhub","insiderhub://participation","Unicode","False","C:\Program Files\WindowsApps\Microsoft.WindowsFeedbackHub_1.2407.21972.0_x64__8wekyb3d8bbwe\PilotshubApp.dll"
"insiderhub","insiderhub://quest","Unicode","False","C:\Program Files\WindowsApps\Microsoft.WindowsFeedbackHub_1.2407.21972.0_x64__8wekyb3d8bbwe\PilotshubApp.dll"
"insiderhub","insiderhub://quest/","Unicode","False","C:\Program Files\WindowsApps\Microsoft.WindowsFeedbackHub_1.2407.21972.0_x64__8wekyb3d8bbwe\PilotshubApp.dll"
"ms-clock","ms-clock://CreateAlarm?version=1","Unicode","False","C:\Program Files\WindowsApps\Microsoft.WindowsAlarms_1.0.195.0_x64__8wekyb3d8bbwe\Time.exe"
"ms-clock","ms-clock://CreateTimer?version=1","Unicode","False","C:\Program Files\WindowsApps\Microsoft.WindowsAlarms_1.0.195.0_x64__8wekyb3d8bbwe\Time.exe"
"ms-cxh","ms-cxh://frx/inclusive","UTF-8","False","C:\Windows\SystemApps\Microsoft.Windows.CloudExperienceHost_cw5n1h2txyewy\js\core.js"
"ms-cxh","ms-cxh://LOCALONLY","UTF-8","False","C:\Windows\SystemApps\Microsoft.Windows.CloudExperienceHost_cw5n1h2txyewy\js\errorHandler.js"
"ms-cxh","ms-cxh://MOSET/CONNECTTOWORK","UTF-8","False","C:\Windows\SystemApps\Microsoft.Windows.CloudExperienceHost_cw5n1h2txyewy\js\appManager.js"
"ms-cxh","ms-cxh://mosetMDMconnecttowork/","UTF-8","False","C:\Windows\SystemApps\Microsoft.Windows.CloudExperienceHost_cw5n1h2txyewy\js\appManager.js"
"ms-gamebar","ms-gamebar://createCoreWindow","Unicode","False","C:\Program Files\WindowsApps\Microsoft.XboxGamingOverlay_7.224.9031.0_x64__8wekyb3d8bbwe\GameBar.exe"
"ms-gamebar","ms-gamebar://launch/activate","Unicode","False","C:\Program Files\WindowsApps\Microsoft.XboxGamingOverlay_7.224.9031.0_x64__8wekyb3d8bbwe\GameBar.exe"
"ms-gamebar","ms-gamebar://launch/activateMinimized","Unicode","False","C:\Program Files\WindowsApps\Microsoft.XboxGamingOverlay_7.224.9031.0_x64__8wekyb3d8bbwe\GameBar.exe"
"ms-gamebar","ms-gamebar://launchforeground/activate/GalleryWidget","Unicode","False","C:\Program Files\WindowsApps\Microsoft.XboxGamingOverlay_7.224.9031.0_x64__8wekyb3d8bbwe\GameBar.exe"
"ms-gamebar","ms-gamebar://launchforeground/activate/SettingsWidget?categoryId=capturing","Unicode","False","C:\Program Files\WindowsApps\Microsoft.XboxGamingOverlay_7.224.9031.0_x64__8wekyb3d8bbwe\GameBar.exe"
"msgamepass","msgamepass://details?id=9PLKVSWR299F","UTF-8","False","C:\Program Files\WindowsApps\Microsoft.GamingApp_2409.1001.5.0_x64__8wekyb3d8bbwe\Bundle\sourcemaps\index.bundle.packager.map"
"msgamepass","msgamepass://details?id=9PMQDM08SNK9","UTF-8","False","C:\Program Files\WindowsApps\Microsoft.GamingApp_2409.1001.5.0_x64__8wekyb3d8bbwe\Bundle\sourcemaps\index.bundle.map"
"msgamepass","msgamepass://details?id=9WZDNCRFHWD2","UTF-8","False","C:\Program Files\WindowsApps\Microsoft.GamingApp_2409.1001.5.0_x64__8wekyb3d8bbwe\Bundle\sourcemaps\index.bundle.map"
"msgamepass","msgamepass://gallery?id=f13cf6b4-57e6-4459-89df-6aec18cf0538","UTF-8","False","C:\Program Files\WindowsApps\Microsoft.GamingApp_2409.1001.5.0_x64__8wekyb3d8bbwe\Bundle\sourcemaps\index.bundle.map"
"msgamingapp","msgamingapp://gamepass/upsell","UTF-8","False","C:\Program Files\WindowsApps\Microsoft.GamingApp_2409.1001.5.0_x64__8wekyb3d8bbwe\Bundle\sourcemaps\index.bundle.packager.map"
"ms-get-started","ms-get-started://story/?id=first-run","Unicode","False","C:\Program Files\WindowsApps\Microsoft.Getstarted_10.2312.1.0_x64__8wekyb3d8bbwe\WhatsNew.Store.dll"
"ms-media-player","ms-media-player://play?source={0}&kind={1:d}&position={2}","Unicode","True","C:\Program Files\WindowsApps\Microsoft.ZuneMusic_11.2408.4.0_x64__8wekyb3d8bbwe\Microsoft.Media.Player.dll"
"msnnews","msnnews://application/view?EntityType={0}&ContentID={1}","Unicode","True","C:\Program Files\WindowsApps\Microsoft.BingNews_4.55.62231.0_x64__8wekyb3d8bbwe\Microsoft.Msn.News.dll"
"msnnews","msnnews://application/view?entitytype={entitytype}&{fieldname}={id}","Unicode","True","C:\Program Files\WindowsApps\Microsoft.BingNews_4.55.62231.0_x64__8wekyb3d8bbwe\Configuration\configuration.sqlite"
"msnnews","msnnews://freindianeditions","Unicode","False","C:\Program Files\WindowsApps\Microsoft.BingNews_4.55.62231.0_x64__8wekyb3d8bbwe\Configuration\configuration.sqlite"
"msnnews","msnnews://fresaveforlater","Unicode","False","C:\Program Files\WindowsApps\Microsoft.BingNews_4.55.62231.0_x64__8wekyb3d8bbwe\Configuration\configuration.sqlite"
"msnnews","msnnews://whatsnew/GenericEditions","Unicode","False","C:\Program Files\WindowsApps\Microsoft.BingNews_4.55.62231.0_x64__8wekyb3d8bbwe\Configuration\configuration.sqlite"
"msnnews","msnnews://whatsnew/HidePublisher","Unicode","False","C:\Program Files\WindowsApps\Microsoft.BingNews_4.55.62231.0_x64__8wekyb3d8bbwe\Configuration\configuration.sqlite"
"msnnews","msnnews://whatsnew/HUCZEditions","Unicode","False","C:\Program Files\WindowsApps\Microsoft.BingNews_4.55.62231.0_x64__8wekyb3d8bbwe\Configuration\configuration.sqlite"
"msnweather","msnweather://application/view?entitytype={entitytype}&{fieldname}={id}","Unicode","True","C:\Program Files\WindowsApps\Microsoft.BingWeather_4.53.62621.0_x64__8wekyb3d8bbwe\Configuration\configuration.sqlite"
"ms-search","ms-search://LaunchSetting","Unicode","False","C:\Windows\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\SearchUx.UI.dll"
"ms-search","ms-search://Search","Unicode","False","C:\Windows\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\SearchUx.UI.dll"
"ms-search","ms-search://Search/?q=","Unicode","True","C:\Windows\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\CommandExecutor.dll"
"ms-search","ms-search://Search/?q=apps:","Unicode","True","C:\Windows\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\CommandExecutor.dll"
"ms-whiteboard-cmd","ms-whiteboard-cmd://?source=pentailbutton","Unicode","False","C:\Program Files\WindowsApps\Microsoft.Whiteboard_54.20907.567.0_x64__8wekyb3d8bbwe\MicrosoftWhiteboard\MicrosoftWhiteboard.exe"
"ms-windowsbackup","ms-windowsbackup://backup/?surface=","Unicode","True","C:\Windows\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\WindowsBackup.dll"
"ms-windowsbackup","ms-windowsbackup://backup/?surface=appsAndSettingsPolicyNotification","Unicode","False","C:\Windows\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\WindowsBackup.dll"
"ms-windowsbackup","ms-windowsbackup://backup/?surface=BackupStatusNotification","Unicode","True","C:\Windows\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\WindowsBackup.dll"
"ms-windowsbackup","ms-windowsbackup://backup/?surface=followUpNotification","Unicode","False","C:\Windows\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\WindowsBackup.dll"
"ms-windowsbackup","ms-windowsbackup://backup/?surface=none","Unicode","False","C:\Windows\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\WindowsBackup.dll"
"ms-windows-store","ms-windows-store://browse/?type=apps&list=mostpopular&cat=personalization&subcat=fonts&Title=[Fonts]&OCID=SettingsFont","Unicode","True","C:\Program Files\WindowsApps\Microsoft.WindowsStore_22408.1401.6.0_x64__8wekyb3d8bbwe\WinStore.App.dll"
"ms-windows-store","ms-windows-store://browse/?type=apps&list=mostpopular&cat=personalization&subcat=themes&Title=[Themes]&OCID=OSSetting","Unicode","True","C:\Program Files\WindowsApps\Microsoft.WindowsStore_22408.1401.6.0_x64__8wekyb3d8bbwe\WinStore.App.dll"
"ms-windows-store","ms-windows-store://cdp/?id={CatalogId}","Unicode","True","C:\Program Files\WindowsApps\Microsoft.WindowsStore_22408.1401.6.0_x64__8wekyb3d8bbwe\WinStore.App.dll"
"ms-windows-store","ms-windows-store://downloadsAndUpdates?ocid=jumplist","Unicode","False","C:\Program Files\WindowsApps\Microsoft.WindowsStore_22408.1401.6.0_x64__8wekyb3d8bbwe\WinStore.App.dll"
"ms-windows-store","ms-windows-store://getgenuinewindows","Unicode","False","C:\Program Files\WindowsApps\Microsoft.WindowsStore_22408.1401.6.0_x64__8wekyb3d8bbwe\WinStore.App.dll"
"ms-windows-store","ms-windows-store://home","Unicode","False","C:\Program Files\WindowsApps\Microsoft.WindowsStore_22408.1401.6.0_x64__8wekyb3d8bbwe\WinStore.App.dll"
"ms-windows-store","ms-windows-store://mylibrary/?pagename=restore&referrer=","Unicode","True","C:\Program Files\WindowsApps\Microsoft.WindowsStore_22408.1401.6.0_x64__8wekyb3d8bbwe\WinStore.App.dll"
"ms-windows-store","ms-windows-store://mylibrary?ocid=jumplist","Unicode","False","C:\Program Files\WindowsApps\Microsoft.WindowsStore_22408.1401.6.0_x64__8wekyb3d8bbwe\WinStore.App.dll"
"ms-windows-store","ms-windows-store://navigatetopage/?id=entertainment&ocid=jumplist","Unicode","False","C:\Program Files\WindowsApps\Microsoft.WindowsStore_22408.1401.6.0_x64__8wekyb3d8bbwe\WinStore.App.dll"
"ms-windows-store","ms-windows-store://navigatetopage/?id=gaming&ocid=jumplist","Unicode","False","C:\Program Files\WindowsApps\Microsoft.WindowsStore_22408.1401.6.0_x64__8wekyb3d8bbwe\WinStore.App.dll"
"ms-windows-store","ms-windows-store://navigatetopage/?id=lob&ocid=jumplist","Unicode","False","C:\Program Files\WindowsApps\Microsoft.WindowsStore_22408.1401.6.0_x64__8wekyb3d8bbwe\WinStore.App.dll"
"ms-windows-store","ms-windows-store://navigatetopage/?id=productivity&ocid=jumplist","Unicode","False","C:\Program Files\WindowsApps\Microsoft.WindowsStore_22408.1401.6.0_x64__8wekyb3d8bbwe\WinStore.App.dll"
"ms-windows-store","ms-windows-store://OEMStore/?OEMID=","Unicode","True","C:\Program Files\WindowsApps\Microsoft.WindowsStore_22408.1401.6.0_x64__8wekyb3d8bbwe\WinStore.App.dll"
"ms-windows-store","ms-windows-store://pages/digitalattach","Unicode","False","C:\Program Files\WindowsApps\Microsoft.WindowsStore_22408.1401.6.0_x64__8wekyb3d8bbwe\WinStore.App.dll"
"ms-windows-store","ms-windows-store://pdp/?productid=","Unicode","True","C:\Program Files\WindowsApps\Microsoft.WindowsStore_22408.1401.6.0_x64__8wekyb3d8bbwe\WinStore.DesktopExtension\StoreDesktopExtension.exe"
"ms-windows-store","ms-windows-store://pdp?ProductId=","Unicode","True","C:\Program Files\WindowsApps\Microsoft.WindowsStore_22408.1401.6.0_x64__8wekyb3d8bbwe\WinStore.App.dll"
"ms-windows-store","ms-windows-store://pdp?ProductId=9NJHK44TTKSX","Unicode","False","C:\Program Files\WindowsApps\Microsoft.WindowsStore_22408.1401.6.0_x64__8wekyb3d8bbwe\WinStore.App.dll"
"ms-windows-store","ms-windows-store://search/?query=","Unicode","True","C:\Program Files\WindowsApps\Microsoft.WindowsStore_22408.1401.6.0_x64__8wekyb3d8bbwe\WinStore.App.dll"
"ms-windows-store","ms-windows-store://settings","Unicode","False","C:\Program Files\WindowsApps\Microsoft.WindowsStore_22408.1401.6.0_x64__8wekyb3d8bbwe\WinStore.App.dll"
"ms-windows-store","ms-windows-store://switchwindows","Unicode","False","C:\Program Files\WindowsApps\Microsoft.WindowsStore_22408.1401.6.0_x64__8wekyb3d8bbwe\WinStore.App.dll"
"ms-windows-store","ms-windows-store://videoGallery/?","Unicode","False","C:\Program Files\WindowsApps\Microsoft.WindowsStore_22408.1401.6.0_x64__8wekyb3d8bbwe\WinStore.App.dll"
"ms-windows-store","ms-windows-store://viewdigitalattach","Unicode","False","C:\Program Files\WindowsApps\Microsoft.WindowsStore_22408.1401.6.0_x64__8wekyb3d8bbwe\WinStore.App.dll"
"mswindowsvideo","mswindowsvideo://details/?","Unicode","False","C:\Program Files\WindowsApps\Microsoft.ZuneVideo_10.22091.10061.0_x64__8wekyb3d8bbwe\Video.UI.exe"
"mswindowsvideo","mswindowsvideo://details/?storeId={0}&alternateId={1}&itemType=movie","Unicode","True","C:\Program Files\WindowsApps\Microsoft.ZuneVideo_10.22091.10061.0_x64__8wekyb3d8bbwe\Video.UI.exe"
"mswindowsvideo","mswindowsvideo://details/?storeId={0}&alternateId={1}&itemType=tvSeason","Unicode","True","C:\Program Files\WindowsApps\Microsoft.ZuneVideo_10.22091.10061.0_x64__8wekyb3d8bbwe\Video.UI.exe"
"mswindowsvideo","mswindowsvideo://Editorial360BrowsePage/","Unicode","False","C:\Program Files\WindowsApps\Microsoft.ZuneVideo_10.22091.10061.0_x64__8wekyb3d8bbwe\Video.UI.exe"
"mswindowsvideo","mswindowsvideo://ExploreEditorial360Page/","Unicode","False","C:\Program Files\WindowsApps\Microsoft.ZuneVideo_10.22091.10061.0_x64__8wekyb3d8bbwe\Video.UI.exe"
"mswindowsvideo","mswindowsvideo://ExploreMoviesPage/","Unicode","False","C:\Program Files\WindowsApps\Microsoft.ZuneVideo_10.22091.10061.0_x64__8wekyb3d8bbwe\Video.UI.exe"
"mswindowsvideo","mswindowsvideo://ExplorePage/","Unicode","False","C:\Program Files\WindowsApps\Microsoft.ZuneVideo_10.22091.10061.0_x64__8wekyb3d8bbwe\Video.UI.exe"
"mswindowsvideo","mswindowsvideo://ExploreTVPage/","Unicode","False","C:\Program Files\WindowsApps\Microsoft.ZuneVideo_10.22091.10061.0_x64__8wekyb3d8bbwe\Video.UI.exe"
"mswindowsvideo","mswindowsvideo://location/?id={0}","Unicode","True","C:\Program Files\WindowsApps\Microsoft.ZuneVideo_10.22091.10061.0_x64__8wekyb3d8bbwe\Video.UI.exe"
"mswindowsvideo","mswindowsvideo://location/?id=downloadManager","Unicode","False","C:\Program Files\WindowsApps\Microsoft.ZuneVideo_10.22091.10061.0_x64__8wekyb3d8bbwe\Video.UI.exe"
"mswindowsvideo","mswindowsvideo://location/?id=settings","Unicode","False","C:\Program Files\WindowsApps\Microsoft.ZuneVideo_10.22091.10061.0_x64__8wekyb3d8bbwe\Video.UI.exe"
"mswindowsvideo","mswindowsvideo://MediaServerGalleryPage","Unicode","False","C:\Program Files\WindowsApps\Microsoft.ZuneVideo_10.22091.10061.0_x64__8wekyb3d8bbwe\Video.UI.exe"
"mswindowsvideo","mswindowsvideo://MoviesAndTVGalleryPage/?SortBy={0}&Filter={1}&MediaType={2}","Unicode","True","C:\Program Files\WindowsApps\Microsoft.ZuneVideo_10.22091.10061.0_x64__8wekyb3d8bbwe\Video.UI.exe"
"mswindowsvideo","mswindowsvideo://NowPlayingPage/","Unicode","False","C:\Program Files\WindowsApps\Microsoft.ZuneVideo_10.22091.10061.0_x64__8wekyb3d8bbwe\Video.UI.exe"
"mswindowsvideo","mswindowsvideo://PersonalVideoPage/","Unicode","False","C:\Program Files\WindowsApps\Microsoft.ZuneVideo_10.22091.10061.0_x64__8wekyb3d8bbwe\Video.UI.exe"
"mswindowsvideo","mswindowsvideo://PersonalVideoPage/?SortBy={0}","Unicode","True","C:\Program Files\WindowsApps\Microsoft.ZuneVideo_10.22091.10061.0_x64__8wekyb3d8bbwe\Video.UI.exe"
"mswindowsvideo","mswindowsvideo://PicksForYouPage/Movies","Unicode","False","C:\Program Files\WindowsApps\Microsoft.ZuneVideo_10.22091.10061.0_x64__8wekyb3d8bbwe\Video.UI.exe"
"mswindowsvideo","mswindowsvideo://PicksForYouPage/Tv","Unicode","False","C:\Program Files\WindowsApps\Microsoft.ZuneVideo_10.22091.10061.0_x64__8wekyb3d8bbwe\Video.UI.exe"
"mswindowsvideo","mswindowsvideo://PicksForYouPage/Video","Unicode","False","C:\Program Files\WindowsApps\Microsoft.ZuneVideo_10.22091.10061.0_x64__8wekyb3d8bbwe\Video.UI.exe"
"mswindowsvideo","mswindowsvideo://Playback/{0}","Unicode","True","C:\Program Files\WindowsApps\Microsoft.ZuneVideo_10.22091.10061.0_x64__8wekyb3d8bbwe\Video.UI.exe"
"mswindowsvideo","mswindowsvideo://RemovableStorageGalleryPage","Unicode","False","C:\Program Files\WindowsApps\Microsoft.ZuneVideo_10.22091.10061.0_x64__8wekyb3d8bbwe\Video.UI.exe"
"mswindowsvideo","mswindowsvideo://search/?queryText={0}","Unicode","True","C:\Program Files\WindowsApps\Microsoft.ZuneVideo_10.22091.10061.0_x64__8wekyb3d8bbwe\Video.UI.exe"
"mswindowsvideo","mswindowsvideo://TrailerBrowsePage/","Unicode","False","C:\Program Files\WindowsApps\Microsoft.ZuneVideo_10.22091.10061.0_x64__8wekyb3d8bbwe\Video.UI.exe"
"mswindowsvideo","mswindowsvideo://TrailerGalleryPage/","Unicode","False","C:\Program Files\WindowsApps\Microsoft.ZuneVideo_10.22091.10061.0_x64__8wekyb3d8bbwe\Video.UI.exe"
"mswindowsvideo","mswindowsvideo://TvDetailsPage","Unicode","False","C:\Program Files\WindowsApps\Microsoft.ZuneVideo_10.22091.10061.0_x64__8wekyb3d8bbwe\Video.UI.exe"
"msxbox","msxbox://acceptxcloudinvite","Unicode","False","C:\Program Files\WindowsApps\Microsoft.GamingApp_2409.1001.5.0_x64__8wekyb3d8bbwe\XboxPcApp.exe"
"msxbox","msxbox://acceptXCloudInvite?titleId=123","UTF-8","False","C:\Program Files\WindowsApps\Microsoft.GamingApp_2409.1001.5.0_x64__8wekyb3d8bbwe\Bundle\sourcemaps\index.bundle.map"
"msxbox","msxbox://accountlinkingcomplete?provider={0}","UTF-8","True","C:\Program Files\WindowsApps\Microsoft.GamingApp_2409.1001.5.0_x64__8wekyb3d8bbwe\Bundle\sourcemaps\index.bundle.packager.map"
"msxbox","msxbox://accountlinkingcomplete?provider=Twitch","UTF-8","False","C:\Program Files\WindowsApps\Microsoft.GamingApp_2409.1001.5.0_x64__8wekyb3d8bbwe\Bundle\sourcemaps\index.bundle.map"
"msxbox","msxbox://accountlinkingcomplete?provider=Twitch&error=bad+request","UTF-8","False","C:\Program Files\WindowsApps\Microsoft.GamingApp_2409.1001.5.0_x64__8wekyb3d8bbwe\Bundle\sourcemaps\index.bundle.map"
"msxbox","msxbox://achievements?xuid=2533274985346550&titleid=85494077","UTF-8","False","C:\Program Files\WindowsApps\Microsoft.GamingApp_2409.1001.5.0_x64__8wekyb3d8bbwe\Bundle\sourcemaps\index.bundle.packager.map"
"msxbox","msxbox://adventurequiz","UTF-8","False","C:\Program Files\WindowsApps\Microsoft.GamingApp_2409.1001.5.0_x64__8wekyb3d8bbwe\Bundle\sourcemaps\index.bundle.packager.map"
"msxbox","msxbox://autostart/","Unicode","False","C:\Program Files\WindowsApps\Microsoft.GamingApp_2409.1001.5.0_x64__8wekyb3d8bbwe\XboxPcTray.exe"
"msxbox","msxbox://bespokepublisherpage?siglid=5cdc72a8-bfeb-4c10-bab2-332ffd22bfeb","UTF-8","False","C:\Program Files\WindowsApps\Microsoft.GamingApp_2409.1001.5.0_x64__8wekyb3d8bbwe\Bundle\sourcemaps\index.bundle.map"
"msxbox","msxbox://clearFeatureFlags/","UTF-8","False","C:\Program Files\WindowsApps\Microsoft.GamingApp_2409.1001.5.0_x64__8wekyb3d8bbwe\Bundle\sourcemaps\index.bundle.map"
"msxbox","msxbox://clearFeatureGateOverrides/","UTF-8","False","C:\Program Files\WindowsApps\Microsoft.GamingApp_2409.1001.5.0_x64__8wekyb3d8bbwe\Bundle\sourcemaps\index.bundle.packager.map"
"msxbox","msxbox://config","UTF-8","False","C:\Program Files\WindowsApps\Microsoft.GamingApp_2409.1001.5.0_x64__8wekyb3d8bbwe\Bundle\sourcemaps\index.bundle.packager.map"
"msxbox","msxbox://config/?featureGates=serviceTimeout:500","UTF-8","False","C:\Program Files\WindowsApps\Microsoft.GamingApp_2409.1001.5.0_x64__8wekyb3d8bbwe\Bundle\sourcemaps\index.bundle.map"
"msxbox","msxbox://config/?flights=customFlight","UTF-8","False","C:\Program Files\WindowsApps\Microsoft.GamingApp_2409.1001.5.0_x64__8wekyb3d8bbwe\Bundle\sourcemaps\index.bundle.packager.map"
"msxbox","msxbox://config/?testproducts=product1,product2,product3","UTF-8","False","C:\Program Files\WindowsApps\Microsoft.GamingApp_2409.1001.5.0_x64__8wekyb3d8bbwe\Bundle\sourcemaps\index.bundle.packager.map"
"msxbox","msxbox://disablesystray","UTF-8","False","C:\Program Files\WindowsApps\Microsoft.GamingApp_2409.1001.5.0_x64__8wekyb3d8bbwe\Bundle\sourcemaps\index.bundle.map"
"msxbox","msxbox://dlc/?productId=9NBLGGH4PBBM&catalogId=2","UTF-8","False","C:\Program Files\WindowsApps\Microsoft.GamingApp_2409.1001.5.0_x64__8wekyb3d8bbwe\Bundle\sourcemaps\index.bundle.packager.map"
"msxbox","msxbox://dlc/?productId=9NBLGGH4RWK8","UTF-8","False","C:\Program Files\WindowsApps\Microsoft.GamingApp_2409.1001.5.0_x64__8wekyb3d8bbwe\Bundle\sourcemaps\index.bundle.map"
"msxbox","msxbox://dumplog","UTF-8","False","C:\Program Files\WindowsApps\Microsoft.GamingApp_2409.1001.5.0_x64__8wekyb3d8bbwe\Bundle\sourcemaps\index.bundle.map"
"msxbox","msxbox://ea/","UTF-8","False","C:\Program Files\WindowsApps\Microsoft.GamingApp_2409.1001.5.0_x64__8wekyb3d8bbwe\Bundle\sourcemaps\index.bundle.map"
"msxbox","msxbox://eabenefits/","UTF-8","False","C:\Program Files\WindowsApps\Microsoft.GamingApp_2409.1001.5.0_x64__8wekyb3d8bbwe\Bundle\sourcemaps\index.bundle.map"
"msxbox","msxbox://editorial?pageId=addOns","UTF-8","False","C:\Program Files\WindowsApps\Microsoft.GamingApp_2409.1001.5.0_x64__8wekyb3d8bbwe\Bundle\sourcemaps\index.bundle.packager.map"
"msxbox","msxbox://error","UTF-8","False","C:\Program Files\WindowsApps\Microsoft.GamingApp_2409.1001.5.0_x64__8wekyb3d8bbwe\Bundle\sourcemaps\index.bundle.map"
"msxbox","msxbox://gallery/?mediatype=Games&list=New&catalog=gp","UTF-8","False","C:\Program Files\WindowsApps\Microsoft.GamingApp_2409.1001.5.0_x64__8wekyb3d8bbwe\Bundle\sourcemaps\index.bundle.map"
"msxbox","msxbox://gallery/?mediatype=Games&list=New&catalog=gp&forceIncludePrice=true","UTF-8","False","C:\Program Files\WindowsApps\Microsoft.GamingApp_2409.1001.5.0_x64__8wekyb3d8bbwe\Bundle\sourcemaps\index.bundle.map"
"msxbox","msxbox://game/?productId=9NBLGGH4PBBM","UTF-8","False","C:\Program Files\WindowsApps\Microsoft.GamingApp_2409.1001.5.0_x64__8wekyb3d8bbwe\Bundle\sourcemaps\index.bundle.map"
"msxbox","msxbox://game/?productId=9NBLGGH4PBBM&catalogId=2","UTF-8","False","C:\Program Files\WindowsApps\Microsoft.GamingApp_2409.1001.5.0_x64__8wekyb3d8bbwe\Bundle\sourcemaps\index.bundle.packager.map"
"msxbox","msxbox://game/?source=JumpList&productId=","UTF-8","True","C:\Program Files\WindowsApps\Microsoft.GamingApp_2409.1001.5.0_x64__8wekyb3d8bbwe\Bundle\sourcemaps\index.bundle.map"
"msxbox","msxbox://game/postinstall/?productId=9NBLGGH4PBBM","UTF-8","False","C:\Program Files\WindowsApps\Microsoft.GamingApp_2409.1001.5.0_x64__8wekyb3d8bbwe\Bundle\sourcemaps\index.bundle.map"
"msxbox","msxbox://gamepass/","UTF-8","False","C:\Program Files\WindowsApps\Microsoft.GamingApp_2409.1001.5.0_x64__8wekyb3d8bbwe\Bundle\sourcemaps\index.bundle.map"
"msxbox","msxbox://gamepass/?source=JumpList","UTF-8","False","C:\Program Files\WindowsApps\Microsoft.GamingApp_2409.1001.5.0_x64__8wekyb3d8bbwe\Bundle\sourcemaps\index.bundle.packager.map"
"msxbox","msxbox://gamepass/upsell","UTF-8","False","C:\Program Files\WindowsApps\Microsoft.GamingApp_2409.1001.5.0_x64__8wekyb3d8bbwe\Bundle\sourcemaps\index.bundle.map"
"msxbox","msxbox://gamestreaming/","UTF-8","False","C:\Program Files\WindowsApps\Microsoft.GamingApp_2409.1001.5.0_x64__8wekyb3d8bbwe\Bundle\sourcemaps\index.bundle.packager.map"
"msxbox","msxbox://givegamepass","UTF-8","False","C:\Program Files\WindowsApps\Microsoft.GamingApp_2409.1001.5.0_x64__8wekyb3d8bbwe\Bundle\sourcemaps\index.bundle.map"
"msxbox","msxbox://handheld","UTF-8","False","C:\Program Files\WindowsApps\Microsoft.GamingApp_2409.1001.5.0_x64__8wekyb3d8bbwe\Bundle\sourcemaps\index.bundle.packager.map"
"msxbox","msxbox://home/","UTF-8","False","C:\Program Files\WindowsApps\Microsoft.GamingApp_2409.1001.5.0_x64__8wekyb3d8bbwe\Bundle\sourcemaps\index.bundle.map"
"msxbox","msxbox://installs","UTF-8","False","C:\Program Files\WindowsApps\Microsoft.GamingApp_2409.1001.5.0_x64__8wekyb3d8bbwe\Bundle\sourcemaps\index.bundle.packager.map"
"msxbox","msxbox://joinxcloudgame","Unicode","False","C:\Program Files\WindowsApps\Microsoft.GamingApp_2409.1001.5.0_x64__8wekyb3d8bbwe\XboxPcApp.exe"
"msxbox","msxbox://joinXCloudGame?titleId=123","UTF-8","False","C:\Program Files\WindowsApps\Microsoft.GamingApp_2409.1001.5.0_x64__8wekyb3d8bbwe\Bundle\sourcemaps\index.bundle.packager.map"
"msxbox","msxbox://launchXCloudGame?titleId=1768081511","UTF-8","False","C:\Program Files\WindowsApps\Microsoft.GamingApp_2409.1001.5.0_x64__8wekyb3d8bbwe\Bundle\sourcemaps\index.bundle.packager.map"
"msxbox","msxbox://library","Unicode","False","C:\Program Files\WindowsApps\Microsoft.GamingApp_2409.1001.5.0_x64__8wekyb3d8bbwe\XboxGameBarWidgets.exe"
"msxbox","msxbox://library/","UTF-8","False","C:\Program Files\WindowsApps\Microsoft.GamingApp_2409.1001.5.0_x64__8wekyb3d8bbwe\Bundle\sourcemaps\index.bundle.packager.map"
"msxbox","msxbox://modals/","UTF-8","False","C:\Program Files\WindowsApps\Microsoft.GamingApp_2409.1001.5.0_x64__8wekyb3d8bbwe\Bundle\sourcemaps\index.bundle.map"
"msxbox","msxbox://mutualfriendsfirstrun","Unicode","False","C:\Program Files\WindowsApps\Microsoft.GamingApp_2409.1001.5.0_x64__8wekyb3d8bbwe\XboxGameBarWidgets.exe"
"msxbox","msxbox://officialclub/?clubid=3379872496075926","UTF-8","False","C:\Program Files\WindowsApps\Microsoft.GamingApp_2409.1001.5.0_x64__8wekyb3d8bbwe\Bundle\sourcemaps\index.bundle.packager.map"
