CLSID,ExplorerCommand,Name,NameSource,CustomIcon
{daf95313-e44d-46af-be1b-cbacea2c3065},"explorer shell:::{daf95313-e44d-46af-be1b-cbacea2c3065}","CLSID_StartMenuProviderFolder",Default Value,"C:\WINDOWS\system32\SearchFolder.dll,-323"
{DFFACDC5-679F-4156-8947-C5C76BC0B67F},"explorer shell:::{DFFACDC5-679F-4156-8947-C5C76BC0B67F}","delegate folder that appears in Users Files Folder",Default Value,None
{e345f35f-9397-435c-8f95-4e922c26259e},"explorer shell:::{e345f35f-9397-435c-8f95-4e922c26259e}","CLSID_StartMenuPathCompleteProviderFolder",Default Value,"C:\WINDOWS\system32\SearchFolder.dll,-323"
{E413D040-6788-4C22-957E-175D1C513A34},"explorer shell:::{E413D040-6788-4C22-957E-175D1C513A34}","Sync Center Conflict Delegate Folder",Default Value,"C:\WINDOWS\System32\SyncCenter.dll,-1000"
{E7E4BC40-E76A-11CE-A9BB-00AA004AE837},"explorer shell:::{E7E4BC40-E76A-11CE-A9BB-00AA004AE837}","Shell DocObject Viewer",Default Value,None
{e88865ea-0e1c-4e20-9aa6-edcd0212c87c},"explorer shell:::{e88865ea-0e1c-4e20-9aa6-edcd0212c87c}","갤러리",Localized String,"C:\WINDOWS\system32\shell32.dll,-51586"
{E88DCCE0-B7B3-11d1-A9F0-00AA0060FA31},"explorer shell:::{E88DCCE0-B7B3-11d1-A9F0-00AA0060FA31}","CompressedFolder",Default Value,"C:\WINDOWS\system32\zipfldr.dll"
{ECDB0924-4208-451E-8EE0-373C0956DE16},"explorer shell:::{ECDB0924-4208-451E-8EE0-373C0956DE16}","ECS",Default Value,"C:\Windows\System32\WorkfoldersControl.dll, 1"
{ed50fc29-b964-48a9-afb3-15ebb9b97f36},"explorer shell:::{ed50fc29-b964-48a9-afb3-15ebb9b97f36}","printhood delegate folder",Default Value,None
{ED7BA470-8E54-465E-825C-99712043E01C},"explorer shell:::{ED7BA470-8E54-465E-825C-99712043E01C}","All Tasks",Default Value,"C:\WINDOWS\System32\imageres.dll,-27"
{ED834ED6-4B5A-4bfe-8F11-A626DCB6A921},"explorer shell:::{ED834ED6-4B5A-4bfe-8F11-A626DCB6A921}","Personalization Control Panel",Default Value,"C:\WINDOWS\System32\themecpl.dll,-1"
{EDC978D6-4D53-4b2f-A265-5805674BE568},"explorer shell:::{EDC978D6-4D53-4b2f-A265-5805674BE568}","StreamBackedFolder",Default Value,None
{F02C1A0D-BE21-4350-88B0-7367FC96EF3C},"explorer shell:::{F02C1A0D-BE21-4350-88B0-7367FC96EF3C}","Computers and Devices",Default Value,"C:\WINDOWS\System32\imageres.dll,-25"
{F1390A9A-A3F4-4E5D-9C5F-98F3BD8D935C},"explorer shell:::{F1390A9A-A3F4-4E5D-9C5F-98F3BD8D935C}","Sync Setup Delegate Folder",Default Value,"C:\WINDOWS\System32\SyncCenter.dll,-1000"
{F3364BA0-65B9-11CE-A9BA-00AA004AE837},"explorer shell:::{F3364BA0-65B9-11CE-A9BA-00AA004AE837}","Shell File System Folder",Default Value,None
{F5175861-2688-11d0-9C5E-00AA00A45957},"explorer shell:::{F5175861-2688-11d0-9C5E-00AA00A45957}","Subscription Folder",Default Value,"C:\Windows\System32\webcheck.dll"
{F5FB2C77-0E2F-4A16-A381-3E560C68BC83},"explorer shell:::{F5FB2C77-0E2F-4A16-A381-3E560C68BC83}","Removable Drives",Default Value,None
{F6B6E965-E9B2-444B-9286-10C9152EDBC5},"explorer shell:::{F6B6E965-E9B2-444B-9286-10C9152EDBC5}","History Vault",Default Value,"C:\WINDOWS\System32\FileHistory.exe"
{f8278c54-a712-415b-b593-b77a2be0dda9},"explorer shell:::{f8278c54-a712-415b-b593-b77a2be0dda9}","This Device",Default Value,None
{f86fa3ab-70d2-4fc7-9c99-fcbf05467f3a},"explorer shell:::{f86fa3ab-70d2-4fc7-9c99-fcbf05467f3a}","Local Videos",Known Folder ID,"C:\WINDOWS\system32\imageres.dll,-189"
{f874310e-b6b7-47dc-bc84-b9e6b38f5903},"explorer shell:::{f874310e-b6b7-47dc-bc84-b9e6b38f5903}","CLSID_MSGraphHomeFolder",Desktop Namespace,"C:\WINDOWS\system32\shell32.dll,-51380"
{f8c2ab3b-17bc-41da-9758-339d7dbf2d88},"explorer shell:::{f8c2ab3b-17bc-41da-9758-339d7dbf2d88}","Previous Versions Results Folder",Default Value,None
{F942C606-0914-47AB-BE56-1321B8035096},"explorer shell:::{F942C606-0914-47AB-BE56-1321B8035096}","Storage Spaces",Default Value,"C:\Windows\System32\SpaceControl.dll,-1"
{FF393560-C2A7-11CF-BFF4-444553540000},"explorer shell:::{FF393560-C2A7-11CF-BFF4-444553540000}","History",Default Value,"C:\Windows\System32\ieframe.dll,-20785"

