CLSID,ExplorerCommand,Name,NameSource,CustomIcon
{241D7C96-F8BF-4F85-B01F-E2B043341A4B},"explorer shell:::{241D7C96-F8BF-4F85-B01F-E2B043341A4B}","Workspaces Center",Default Value,"C:\Windows\System32\tsworkspace.dll"
{24ad3ad4-a569-4530-98e1-ab02f9417aa8},"explorer shell:::{24ad3ad4-a569-4530-98e1-ab02f9417aa8}","Local Pictures",Known Folder ID,"C:\WINDOWS\system32\imageres.dll,-113"
{2559a1f0-21d7-11d4-bdaf-00c04f60b9f0},"explorer shell:::{2559a1f0-21d7-11d4-bdaf-00c04f60b9f0}","Search",Default Value,"C:\WINDOWS\System32\imageres.dll,-177"
{2559a1f2-21d7-11d4-bdaf-00c04f60b9f0},"explorer shell:::{2559a1f2-21d7-11d4-bdaf-00c04f60b9f0}","Windows Security",Default Value,"C:\WINDOWS\System32\shell32.dll,-48"
{2559a1f3-21d7-11d4-bdaf-00c04f60b9f0},"explorer shell:::{2559a1f3-21d7-11d4-bdaf-00c04f60b9f0}","Run...",Default Value,"C:\WINDOWS\System32\imageres.dll,-100"
{2559a1f5-21d7-11d4-bdaf-00c04f60b9f0},"explorer shell:::{2559a1f5-21d7-11d4-bdaf-00c04f60b9f0}","E-mail",Default Value,"C:\WINDOWS\explorer.exe,-254"
{2559a1f7-21d7-11d4-bdaf-00c04f60b9f0},"explorer shell:::{2559a1f7-21d7-11d4-bdaf-00c04f60b9f0}","Set Program Access and Defaults",Default Value,"C:\WINDOWS\System32\imageres.dll,-24"
{2559a1f8-21d7-11d4-bdaf-00c04f60b9f0},"explorer shell:::{2559a1f8-21d7-11d4-bdaf-00c04f60b9f0}","{2559a1f8-21d7-11d4-bdaf-00c04f60b9f0}",Unknown,None
{267cf8a9-f4e3-41e6-95b1-af881be130ff},"explorer shell:::{267cf8a9-f4e3-41e6-95b1-af881be130ff}","Location Folder",Default Value,None
{26EE0668-A00A-44D7-9371-BEB064C98683},"explorer shell:::{26EE0668-A00A-44D7-9371-BEB064C98683}","Control Panel",Default Value,"C:\WINDOWS\System32\imageres.dll,-27"
{28803F59-3A75-4058-995F-4EE5503B023C},"explorer shell:::{28803F59-3A75-4058-995F-4EE5503B023C}","Bluetooth Devices",Default Value,"C:\WINDOWS\system32\DevicePairingFolder.dll,-200"
{289978AC-A101-4341-A817-21EBA7FD046D},"explorer shell:::{289978AC-A101-4341-A817-21EBA7FD046D}","Sync Center Conflict Folder",Default Value,None
{289AF617-1CC3-42A6-926C-E6A863F0E3BA},"explorer shell:::{289AF617-1CC3-42A6-926C-E6A863F0E3BA}","DLNA Media Servers Data Source",Default Value,"dlnashext.dll,-200"
{2965e715-eb66-4719-b53f-1672673bbefa},"explorer shell:::{2965e715-eb66-4719-b53f-1672673bbefa}","Results Folder",Default Value,None
{2E9E59C0-B437-4981-A647-9C34B9B90891},"explorer shell:::{2E9E59C0-B437-4981-A647-9C34B9B90891}","Sync Setup Folder",Default Value,None
{2F6CE85C-F9EE-43CA-90C7-8A9BD53A2467},"explorer shell:::{2F6CE85C-F9EE-43CA-90C7-8A9BD53A2467}","FileHistoryDataSource",Default Value,"FileHistory.exe,0"
{3080F90D-D7AD-11D9-BD98-0000947B0257},"explorer shell:::{3080F90D-D7AD-11D9-BD98-0000947B0257}","Show Desktop",Default Value,"C:\WINDOWS\explorer.exe,-103"
{3080F90E-D7AD-11D9-BD98-0000947B0257},"explorer shell:::{3080F90E-D7AD-11D9-BD98-0000947B0257}","Window Switcher",Default Value,"C:\WINDOWS\explorer.exe,-258"
{3134ef9c-6b18-4996-ad04-ed5912e00eb5},"explorer shell:::{3134ef9c-6b18-4996-ad04-ed5912e00eb5}","Recent Files Folder",Explorer Registry,"C:\WINDOWS\system32\imageres.dll,-117"
{323CA680-C24D-4099-B94D-446DD2D7249E},"explorer shell:::{323CA680-C24D-4099-B94D-446DD2D7249E}","Favorites",Default Value,"C:\WINDOWS\system32\imageres.dll,-1024"
{328B0346-7EAF-4BBE-A479-7CB88A095F5B},"explorer shell:::{328B0346-7EAF-4BBE-A479-7CB88A095F5B}","LayoutFolder",Default Value,"C:\WINDOWS\system32\imageres.dll,-27"
{35786D3C-B075-49b9-88DD-029876E11C01},"explorer shell:::{35786D3C-B075-49b9-88DD-029876E11C01}","Portable Devices",Default Value,None
{374DE290-123F-4565-9164-39C4925E467B},"explorer shell:::{374DE290-123F-4565-9164-39C4925E467B}","Downloads",Known Folder ID,"C:\WINDOWS\system32\imageres.dll,-184"
{38A98528-6CBF-4CA9-8DC0-B1E1D10F7B1B},"explorer shell:::{38A98528-6CBF-4CA9-8DC0-B1E1D10F7B1B}","연결 대상",Localized String,"C:\WINDOWS\system32\imageres.dll,-171"
{3936E9E4-D92C-4EEE-A85A-BC16D5EA0819},"explorer shell:::{3936E9E4-D92C-4EEE-A85A-BC16D5EA0819}","Frequent Places Folder",Default Value,"C:\WINDOWS\system32\shell32.dll,-37219"
{3ADD1653-EB32-4cb0-BBD7-DFA0ABB5ACCA},"explorer shell:::{3ADD1653-EB32-4cb0-BBD7-DFA0ABB5ACCA}","My Pictures",Known Folder ID,"C:\WINDOWS\system32\imageres.dll,-113"
{3dfdf296-dbec-4fb4-81d1-6a3438bcf4de},"explorer shell:::{3dfdf296-dbec-4fb4-81d1-6a3438bcf4de}","Local Music",Known Folder ID,"C:\WINDOWS\system32\imageres.dll,-108"
{3f6bc534-dfa1-4ab4-ae54-ef25a74e0107},"explorer shell:::{3f6bc534-dfa1-4ab4-ae54-ef25a74e0107}","System Restore",Default Value,"C:\WINDOWS\System32\rstrui.exe,0"
{4026492F-2F69-46B8-B9BF-5654FC07E423},"explorer shell:::{4026492F-2F69-46B8-B9BF-5654FC07E423}","Windows Defender Firewall",Default Value,"C:\Windows\System32\FirewallControlPanel.dll,-1"
{418c8b64-5463-461d-88e0-75e2afa3c6fa},"explorer shell:::{418c8b64-5463-461d-88e0-75e2afa3c6fa}","Explorer Browser Results Folder",Default Value,None
{42254EE9-E625-4065-8F70-775090256F72},"explorer shell:::{42254EE9-E625-4065-8F70-775090256F72}","MS Graph Recent File Folder",Default Value,None
{4234d49b-0245-4df3-b780-3893943456e1},"explorer shell:::{4234d49b-0245-4df3-b780-3893943456e1}","Applications",Default Value,None
{4336a54d-038b-4685-ab02-99bb52d3fb8b},"explorer shell:::{4336a54d-038b-4685-ab02-99bb52d3fb8b}","Public Folder",Default Value,None
{437ff9c0-a07f-4fa0-af80-84b6c6440a16},"explorer shell:::{437ff9c0-a07f-4fa0-af80-84b6c6440a16}","Command Folder",Default Value,None
{450D8FBA-AD25-11D0-98A8-0800361B1103},"explorer shell:::{450D8FBA-AD25-11D0-98A8-0800361B1103}","내 문서",Localized String,"C:\WINDOWS\system32\shell32.dll,-235"
{4564b25e-30cd-4787-82ba-39e73a750b14},"explorer shell:::{4564b25e-30cd-4787-82ba-39e73a750b14}","Recent Items Instance Folder",Default Value,None
{48e7caab-b918-4e58-a94d-505519c795dc},"explorer shell:::{48e7caab-b918-4e58-a94d-505519c795dc}","Start Menu Folder",Default Value,None
{4FE04BFD-85B9-49DD-B914-F4C9556B9DA6},"explorer shell:::{4FE04BFD-85B9-49DD-B914-F4C9556B9DA6}","Shell File System NetFolder",Default Value,None
{5399E694-6CE5-4D6C-8FCE-1D8870FDCBA0},"explorer shell:::{5399E694-6CE5-4D6C-8FCE-1D8870FDCBA0}","Control Panel command object for Start menu and desktop",Default Value,"C:\WINDOWS\system32\imageres.dll,-27"
{58E3C745-D971-4081-9034-86E34B30836A},"explorer shell:::{58E3C745-D971-4081-9034-86E34B30836A}","Speech Recognition",Default Value,"C:\WINDOWS\System32\Speech\SpeechUX\speechuxcpl.dll,-1"
{59031a47-3f72-44a7-89c5-5595fe6b30ee},"explorer shell:::{59031a47-3f72-44a7-89c5-5595fe6b30ee}","UsersFiles",Default Value,"C:\WINDOWS\system32\imageres.dll,-123"
{5b934b42-522b-4c34-bbfe-37a3ef7b9c90},"explorer shell:::{5b934b42-522b-4c34-bbfe-37a3ef7b9c90}","This Device",Default Value,None
{5E5F29CE-E0A8-49D3-AF32-7A7BDC173478},"explorer shell:::{5E5F29CE-E0A8-49D3-AF32-7A7BDC173478}","This PC",Default Value,None
{5ea4f148-308c-46d7-98a9-49041b1dd468},"explorer shell:::{5ea4f148-308c-46d7-98a9-49041b1dd468}","Mobility Center Control Panel",Default Value,"C:\WINDOWS\system32\mblctr.exe,0"
{5ED4F38C-D3FF-4D61-B506-6820320AEBFE},"explorer shell:::{5ED4F38C-D3FF-4D61-B506-6820320AEBFE}","PC Settings",Default Value,"C:\WINDOWS\System32\imageres.dll,-27"
{60632754-c523-4b62-b45c-4172da012619},"explorer shell:::{60632754-c523-4b62-b45c-4172da012619}","User Accounts",Default Value,"C:\WINDOWS\System32\usercpl.dll,-1"
{63da6ec0-2e98-11cf-8d82-444553540000},"explorer shell:::{63da6ec0-2e98-11cf-8d82-444553540000}","Microsoft FTP Folder",Default Value,"C:\WINDOWS\system32\imageres.dll,-73"
{645FF040-5081-101B-9F08-00AA002F954E},"explorer shell:::{645FF040-5081-101B-9F08-00AA002F954E}","Recycle Bin",Default Value,"C:\WINDOWS\System32\imageres.dll,-55"
{64693913-1c21-4f30-a98f-4e52906d3b56},"explorer shell:::{64693913-1c21-4f30-a98f-4e52906d3b56}","CLSID_AppInstanceFolder",Default Value,None
{67718415-c450-4f3c-bf8a-b487642dc39b},"explorer shell:::{67718415-c450-4f3c-bf8a-b487642dc39b}","Windows Features",Default Value,"C:\WINDOWS\system32\imageres.dll,-87"
{6785BFAC-9D2D-4be5-B7E2-59937E8FB80A},"explorer shell:::{6785BFAC-9D2D-4be5-B7E2-59937E8FB80A}","Other Users Folder",Default Value,None
{679f85cb-0220-4080-b29b-5540cc05aab6},"explorer shell:::{679f85cb-0220-4080-b29b-5540cc05aab6}","{679f85cb-0220-4080-b29b-5540cc05aab6}",Unknown,"C:\WINDOWS\system32\shell32.dll,-51380"
{67CA7650-96E6-4FDD-BB43-A8E774F73A57},"explorer shell:::{67CA7650-96E6-4FDD-BB43-A8E774F73A57}","HomeGroup Control Panel",Default Value,"C:\WINDOWS\System32\imageres.dll,-1013"
{6DFD7C5C-2451-11d3-A299-00C04F8EF6AF},"explorer shell:::{6DFD7C5C-2451-11d3-A299-00C04F8EF6AF}","Folder Options",Default Value,"C:\WINDOWS\system32\imageres.dll,-166"
{7007ACC7-3202-11D1-AAD2-00805FC1270E},"explorer shell:::{7007ACC7-3202-11D1-AAD2-00805FC1270E}","Network Connections",Default Value,"C:\WINDOWS\system32\netshell.dll"
{71D99464-3B6B-475C-B241-E15883207529},"explorer shell:::{71D99464-3B6B-475C-B241-E15883207529}","Sync Results Folder",Default Value,None
{72b36e70-8700-42d6-a7f7-c9ab3323ee51},"explorer shell:::{72b36e70-8700-42d6-a7f7-c9ab3323ee51}","Search Connector Folder",Default Value,None
{7A9D77BD-5403-11d2-8785-2E0420524153},"explorer shell:::{7A9D77BD-5403-11d2-8785-2E0420524153}","User Accounts",Default Value,"C:\WINDOWS\system32\netplwiz.dll,-102"
{7b81be6a-ce2b-4676-a29e-eb907a5126c5},"explorer shell:::{7b81be6a-ce2b-4676-a29e-eb907a5126c5}","Programs and Features",Default Value,"C:\WINDOWS\system32\imageres.dll,-87"
{7BD29E00-76C1-11CF-9DD0-00A0C9034933},"explorer shell:::{7BD29E00-76C1-11CF-9DD0-00A0C9034933}","Temporary Internet Files",Default Value,"C:\Windows\System32\ieframe.dll,-20780"
{7BD29E01-76C1-11CF-9DD0-00A0C9034933},"explorer shell:::{7BD29E01-76C1-11CF-9DD0-00A0C9034933}","Temporary Internet Files",Default Value,None
{863aa9fd-42df-457b-8e4d-0de1b8015c60},"explorer shell:::{863aa9fd-42df-457b-8e4d-0de1b8015c60}","Remote Printers",Default Value,"C:\WINDOWS\System32\imageres.dll,-26"
{871C5380-42A0-1069-A2EA-08002B30309D},"explorer shell:::{871C5380-42A0-1069-A2EA-08002B30309D}","Internet Folder",Default Value,"C:\Windows\System32\ieframe.dll,-190"
{877ca5ac-cb41-4842-9c69-9136e42d47e2},"explorer shell:::{877ca5ac-cb41-4842-9c69-9136e42d47e2}","File Backup Index",Default Value,None
{88C6C381-2E85-11D0-94DE-444553540000},"explorer shell:::{88C6C381-2E85-11D0-94DE-444553540000}","ActiveX Cache Folder",Default Value,"C:\Windows\System32\occache.dll"
{896664F7-12E1-490f-8782-C0835AFD98FC},"explorer shell:::{896664F7-12E1-490f-8782-C0835AFD98FC}","Libraries delegate folder that appears in Users Files Folder",Default Value,None
{89D83576-6BD1-4c86-9454-BEB04E94C819},"explorer shell:::{89D83576-6BD1-4c86-9454-BEB04E94C819}","Microsoft Office Outlook",Localized String,"C:\WINDOWS\system32\mssvp.dll,-504"
{8E908FC9-BECC-40f6-915B-F4CA0E70D03D},"explorer shell:::{8E908FC9-BECC-40f6-915B-F4CA0E70D03D}","Network and Sharing Center",Default Value,"C:\WINDOWS\System32\netcenter.dll,-1"
{8FD8B88D-30E1-4F25-AC2B-553D3D65F0EA},"explorer shell:::{8FD8B88D-30E1-4F25-AC2B-553D3D65F0EA}","DXP",Default Value,"C:\WINDOWS\system32\dxp.dll,0"
{9113A02D-00A3-46B9-BC5F-9C04DADDD5D7},"explorer shell:::{9113A02D-00A3-46B9-BC5F-9C04DADDD5D7}","Enhanced Storage Data Source",Default Value,None
{93412589-74D4-4E4E-AD0E-E0CB621440FD},"explorer shell:::{93412589-74D4-4E4E-AD0E-E0CB621440FD}","Font Settings",Default Value,"C:\WINDOWS\System32\fontext.dll"
{9343812e-1c37-4a49-a12e-4b2d810d956b},"explorer shell:::{9343812e-1c37-4a49-a12e-4b2d810d956b}","CLSID_SearchHome",Default Value,"C:\WINDOWS\System32\searchfolder.dll,-323"
{96437431-5A90-4658-A77C-25478734F03E},"explorer shell:::{96437431-5A90-4658-A77C-25478734F03E}","Server Manager",Default Value,"C:\WINDOWS\system32\svrmgrnc.dll,0"
{98F275B4-4FFF-11E0-89E2-7B86DFD72085},"explorer shell:::{98F275B4-4FFF-11E0-89E2-7B86DFD72085}","CLSID_StartMenuLauncherProviderFolder",Default Value,"C:\WINDOWS\system32\SearchFolder.dll,-323"
{992CFFA0-F557-101A-88EC-00DD010CCC48},"explorer shell:::{992CFFA0-F557-101A-88EC-00DD010CCC48}","Network Connections",Default Value,"C:\WINDOWS\system32\netshell.dll"
{9a096bb5-9dc3-4d1c-8526-c3cbf991ea4e},"explorer shell:::{9a096bb5-9dc3-4d1c-8526-c3cbf991ea4e}","IE RSS Feeds Folder",Default Value,None
{9C60DE1E-E5FC-40f4-A487-460851A8D915},"explorer shell:::{9C60DE1E-E5FC-40f4-A487-460851A8D915}","AutoPlay",Default Value,"C:\WINDOWS\System32\autoplay.dll,-1"
{9C73F5E5-7AE7-4E32-A8E8-8D23B85255BF},"explorer shell:::{9C73F5E5-7AE7-4E32-A8E8-8D23B85255BF}","Sync Center Folder",Default Value,"C:\WINDOWS\System32\SyncCenter.dll,-1000"
{9DB7A13C-F208-4981-8353-73CC61AE2783},"explorer shell:::{9DB7A13C-F208-4981-8353-73CC61AE2783}","Previous Versions",Default Value,"C:\WINDOWS\system32\twext.dll,-100"
{9FE63AFD-59CF-4419-9775-ABCC3849F861},"explorer shell:::{9FE63AFD-59CF-4419-9775-ABCC3849F861}","System Recovery",Default Value,"C:\WINDOWS\System32\imageres.dll,-1022"
{a00ee528-ebd9-48b8-944a-8942113d46ac},"explorer shell:::{a00ee528-ebd9-48b8-944a-8942113d46ac}","CLSID_StartMenuCommandingProviderFolder",Default Value,"C:\WINDOWS\system32\SearchFolder.dll,-323"
{A0953C92-50DC-43bf-BE83-3742FED03C9C},"explorer shell:::{A0953C92-50DC-43bf-BE83-3742FED03C9C}","My Video",Known Folder ID,"C:\WINDOWS\system32\imageres.dll,-189"
{a3c3d402-e56c-4033-95f7-4885e80b0111},"explorer shell:::{a3c3d402-e56c-4033-95f7-4885e80b0111}","Previous Versions Results Delegate Folder",Default Value,None
{a5a3563a-5755-4a6f-854e-afa3230b199f},"explorer shell:::{a5a3563a-5755-4a6f-854e-afa3230b199f}","Library Folder",Default Value,None
{a6482830-08eb-41e2-84c1-73920c2badb9},"explorer shell:::{a6482830-08eb-41e2-84c1-73920c2badb9}","Removable Storage Devices",Default Value,None
{A8A91A66-3A7D-4424-8D24-04E180695C7A},"explorer shell:::{A8A91A66-3A7D-4424-8D24-04E180695C7A}","Device Center",Default Value,"C:\WINDOWS\system32\DeviceCenter.dll,-1"
{A8CDFF1C-4878-43be-B5FD-F8091C1C60D0},"explorer shell:::{A8CDFF1C-4878-43be-B5FD-F8091C1C60D0}","Personal",Known Folder ID,"C:\WINDOWS\system32\imageres.dll,-112"
{AD182E17-4754-4742-8529-C11EEEF0C299},"explorer shell:::{AD182E17-4754-4742-8529-C11EEEF0C299}","Recommendations File Folder",Default Value,None
{AEE2420F-D50E-405C-8784-363C582BF45A},"explorer shell:::{AEE2420F-D50E-405C-8784-363C582BF45A}","DevicePairingFolder Initialization",Default Value,None
{AFDB1F70-2A4C-11d2-9039-00C04F8EEB3E},"explorer shell:::{AFDB1F70-2A4C-11d2-9039-00C04F8EEB3E}","오프라인 파일 폴더",Localized String,"C:\WINDOWS\System32\cscui.dll"
{b155bdf8-02f0-451e-9a26-ae317cfd7779},"explorer shell:::{b155bdf8-02f0-451e-9a26-ae317cfd7779}","delegate folder that appears in Computer",Default Value,None
{b2952b16-0e07-4e5a-b993-58c52cb94cae},"explorer shell:::{b2952b16-0e07-4e5a-b993-58c52cb94cae}","CLSID_DBFolder",Default Value,None
{B4BFCC3A-DB2C-424C-B029-7FE99A87C641},"explorer shell:::{B4BFCC3A-DB2C-424C-B029-7FE99A87C641}","Desktop",Known Folder ID,"C:\WINDOWS\system32\imageres.dll,-183"
{B98A2BEA-7D42-4558-8BD1-832F41BAC6FD},"explorer shell:::{B98A2BEA-7D42-4558-8BD1-832F41BAC6FD}","Windows 7 File Recovery",Default Value,"C:\WINDOWS\System32\sdcpl.dll,-1"
{BB06C0E4-D293-4f75-8A90-CB05B6477EEE},"explorer shell:::{BB06C0E4-D293-4f75-8A90-CB05B6477EEE}","System",Default Value,"C:\WINDOWS\System32\imageres.dll,-149"
{BB64F8A7-BEE7-4E1A-AB8D-7D8273F7FDB6},"explorer shell:::{BB64F8A7-BEE7-4E1A-AB8D-7D8273F7FDB6}","Security and Maintenance CPL",Default Value,"C:\WINDOWS\System32\ActionCenterCPL.dll,-1"
{BC48B32F-5910-47F5-8570-5074A8A5636A},"explorer shell:::{BC48B32F-5910-47F5-8570-5074A8A5636A}","Sync Results Delegate Folder",Default Value,"C:\WINDOWS\System32\SyncCenter.dll,-1000"
{BD7A2E7B-21CB-41b2-A086-B309680C6B7E},"explorer shell:::{BD7A2E7B-21CB-41b2-A086-B309680C6B7E}","오프라인 파일",Localized String,"C:\WINDOWS\system32\mssvp.dll,-505"
{BD84B380-8CA2-1069-AB1D-08000948F534},"explorer shell:::{BD84B380-8CA2-1069-AB1D-08000948F534}","Microsoft Windows Font Folder",Default Value,"C:\WINDOWS\System32\fontext.dll"
{C2B136E2-D50E-405C-8784-363C582BF43E},"explorer shell:::{C2B136E2-D50E-405C-8784-363C582BF43E}","DeviceCenter Initialization",Default Value,None
{c57a6066-66a3-4d91-9eb9-41532179f0a5},"explorer shell:::{c57a6066-66a3-4d91-9eb9-41532179f0a5}","AppSuggestedLocations",Default Value,"C:\WINDOWS\system32\imageres.dll,-1020"
{C58C4893-3BE0-4B45-ABB5-A63E4B8C8651},"explorer shell:::{C58C4893-3BE0-4B45-ABB5-A63E4B8C8651}","Troubleshooting",Default Value,"C:\WINDOWS\System32\DiagCpl.dll,-1"
{D2035EDF-75CB-4EF1-95A7-410D9EE17170},"explorer shell:::{D2035EDF-75CB-4EF1-95A7-410D9EE17170}","DLNA Content Directory Data Source",Default Value,"dlnashext.dll,-200"
{D20EA4E1-3957-11d2-A40B-0C5020524153},"explorer shell:::{D20EA4E1-3957-11d2-A40B-0C5020524153}","Windows Tools",Default Value,"C:\WINDOWS\System32\imageres.dll,-114"
{d3162b92-9365-467a-956b-92703aca08af},"explorer shell:::{d3162b92-9365-467a-956b-92703aca08af}","Local Documents",Known Folder ID,"C:\WINDOWS\system32\imageres.dll,-112"
{d34a6ca6-62c2-4c34-8a7c-14709c1ad938},"explorer shell:::{d34a6ca6-62c2-4c34-8a7c-14709c1ad938}","Common Places FS Folder",Default Value,None
{D4480A50-BA28-11d1-8E75-00C04FA31A86},"explorer shell:::{D4480A50-BA28-11d1-8E75-00C04FA31A86}","Add Network Place",Default Value,"C:\WINDOWS\System32\shwebsvc.dll,-107"
{d450a8a1-9568-45c7-9c0e-b4f9fb4537bd},"explorer shell:::{d450a8a1-9568-45c7-9c0e-b4f9fb4537bd}","Installed Updates",Default Value,"appwiz.cpl,-1507"
{D555645E-D4F8-4c29-A827-D93C859C4F2A},"explorer shell:::{D555645E-D4F8-4c29-A827-D93C859C4F2A}","Ease of Access",Default Value,"C:\WINDOWS\System32\accessibilitycpl.dll,-1"
{D9EF8727-CAC2-4e60-809E-86F80A666C91},"explorer shell:::{D9EF8727-CAC2-4e60-809E-86F80A666C91}","Secure Startup",Default Value,"C:\WINDOWS\System32\fvecpl.dll,-1"
